UnixDate,Price,Date,1d_change,5d_change,10d_change,20d_change,30d_change,50d_change,100d_change,150d_change,200d_change,250d_change,Stock Name,ticker_id
1586447235000,236.85,2020-04-09,0.057602143335566014,0.1384282624369142,0.2316692667706708,-0.1035200605601817,-0.22458667539695532,-0.1497038233710286,0.043162299053072006,0.10162790697674406,0.06737269040108163,0.21742482652274475,Cosmo Films,818.0
1586447759000,14.3,2020-04-09,0.153225806451613,0.2118644067796609,0.4019607843137256,-0.0714285714285714,-0.16129032258064513,-0.3741794310722101,-0.292079207920792,-0.21212121212121204,-0.3410138248847926,-0.45210727969348663,SPIC,3745.0
1586448060000,139.1,2020-04-09,-0.008199643493761233,0.07662538699690402,0.096570752857706,-0.36324101625085836,-0.46499999999999997,-0.49801515698303866,-0.46106160402944607,-0.3770712046574116,-0.4332858015889183,-0.5143156424581006,Subros,3866.0
1586447939000,219.5,2020-04-09,0.04998804113848365,0.27579192095321114,0.6265283438310487,1.644578313253012,10.198979591836734,58.32432432432432,45.702127659574465,31.043795620437955,33.84126984126984,31.279411764705884,Ruchi Soya Inds.,3324.0
1586448060000,945.95,2020-04-09,0.03213311511183847,0.030783480440230937,0.13491301739652073,-0.2039133179044813,-0.23778252286370405,-0.24996035521725335,-0.24178422571336955,-0.3066407681594957,-0.2957489577129243,-0.325405598145837,United Breweries,7939.0
1586447936000,2801.7,2020-04-09,0.009421556087982452,0.041930865207608914,0.184801454729987,-0.06500917737360257,-0.07723470127132603,-0.11735240375527689,-0.12324951886216784,0.04664064105198262,-0.022861626994507,-0.06429096252755329,Britannia Inds.,611.0
1586447995000,342.7,2020-04-09,0.0744630819877723,0.05853281853281844,0.1558178752107926,-0.2513380666302567,-0.35321317353968107,-0.36212191717077713,-0.3143943182954887,-0.15257171117705237,-0.18820324529195787,-0.13710185068613867,ICICI Bank,1622.0
1586447030000,6.2,2020-04-09,0.04201680672268915,0.20388349514563098,0.08771929824561409,-0.16216216216216217,-0.33333333333333337,-0.4833333333333333,-0.43378995433789946,-0.5457875457875458,-0.6828644501278772,-0.7940199335548173,SPML Infra,3863.0
1586447999000,636.25,2020-04-09,0.007362254591513517,-0.008183943881527656,0.07875551034248907,-0.09681311661579961,-0.2005403028208833,-0.18230304588099222,-0.09610740161954823,-0.21153726996716038,-0.15183629940678534,-0.16216750065841457,Infosys,1764.0
1586448060000,25.25,2020-04-09,0.012024048096192397,0.04338842975206614,0.10989010989010994,-0.22782874617737014,-0.35089974293059123,-0.3856447688564477,-0.14551607445008463,-0.01941747572815533,-0.3184885290148447,-0.47938144329896903,Sunflag Iron & Steel Co.,3895.0
1586447893000,1272.9,2020-04-09,0.07178040668547125,-0.017861965201959706,0.10408534998698937,-0.1934226784526185,-0.2415313570683747,-0.21345815182129935,-0.21559081805576952,-0.12265223834304018,-0.1292540274309949,-0.04968457202583143,Kotak Mahindra Bank,2118.0
1586447822000,0.1,2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Uttam Value Steels,2230.0
1586447933000,232.35,2020-04-09,0.04993221870763653,0.3457862728062553,0.48751600512163895,-0.14702643171806162,-0.3151068533529845,-0.3385994876174211,-0.14404125990053418,-0.05702110389610393,-0.37932416188059304,-0.47891904014352993,Wockhardt,4479.0
1586448060000,874.1,2020-04-09,0.06176738536289106,0.10491720389331305,0.17030392288124263,-0.17917175321626444,-0.28825014249653935,-0.18601294407971314,0.01303818740221363,0.1734461001476708,0.1832148900169206,-0.1271656098656948,Balkrishna Industries,438.0
1586448060000,4.07,2020-04-09,0.09703504043126698,0.3129032258064517,0.3171521035598708,0.06266318537859017,-0.2217973231357553,-0.17943548387096764,0.37966101694915255,0.18658892128279891,-0.205078125,0.17971014492753623,Brightcom Group,7179.0
1586448060000,68.3,2020-04-09,0.04996156802459639,0.09455128205128194,0.04996156802459639,-0.4509646302250805,-0.6626327488268708,-0.6184357541899441,-0.49834741094381196,-0.42556770395290167,-0.5045339136742837,-0.5256944444444445,Welspun Corp,5755.0
1586448060000,24.05,2020-04-09,0.02123142250530785,0.10321100917431192,0.19059405940594076,-0.2988338192419824,-0.45526613816534534,-0.4926160337552742,-0.5457979225684608,-0.509683995922528,-0.5701519213583557,-0.600166251039069,Welspun India,4441.0
1586448060000,27.9,2020-04-09,0.02010968921389389,0.16981132075471694,0.21568627450980382,-0.34583821805392734,-0.5403624382207579,-0.4833333333333334,-0.4794776119402986,-0.31449631449631454,-0.18181818181818188,-0.4861878453038674,Indo Count Inds.,1721.0
1586447441000,109.8,2020-04-09,0.047210300429184615,0.2316320807627592,0.5113558155540261,-0.20290381125226864,-0.3709538814093384,-0.4399387911247131,-0.4685382381413359,-0.43343653250773995,-0.5375868603916614,-0.5500921942224954,GHCL,1395.0
1586447969000,366.0,2020-04-09,0.01949860724233976,-0.026207263535985126,0.026647966339411022,-0.32027114866747153,-0.33077345035655514,-0.3668915412558381,-0.2937771345875543,-0.22119374401532077,-0.368148467846353,-0.39444076770350756,Kajaria Ceramics,1971.0
1586448060000,40.5,2020-04-09,0.04381443298969079,-0.010989010989011061,0.265625,-0.10694597574421172,-0.28381962864721477,-0.2548298068077277,-0.039145907473309594,-0.018181818181818188,-0.24860853432282004,-0.4343575418994413,Man Industries (India),2335.0
1586448060000,4.05,2020-04-09,0.04922279792746109,0.2272727272727273,0.19822485207100593,-0.1649484536082474,-0.3467741935483871,-0.513221153846154,-0.6798418972332017,-0.7928388746803069,-0.8521897810218978,-0.9319327731092437,Jain Irrigation Systems,1860.0
