100D Change,10D Change,150D Change,1D Change,200D Change,20D Change,30D Change,50D Change,5D Change,Close,Date,NAME OF COMPANY,SYMBOL,Volume
-25.20891576532493,33.25062476317877,-17.889909006056715,2.4809145022992363,-23.175966250790072,-3.068593350390658,-20.67946353971916,-26.438355119261022,5.088067253338746,26.85000038146973,2020-04-09,20 Microns Limited,20MICRONS,23793.0
-31.578949019519246,8.333325054910778,-25.71428843906948,3.9999961853027344,-60.606061481794605,-23.529416714572438,-39.5348886208251,-46.93877848919502,0.0,1.2999999523162842,2020-04-09,3i Infotech Limited,3IINFOTECH,2047059.0
-15.745233197407305,17.141871195567337,-8.138808272056732,2.4292780894342063,-15.552980170580778,-10.814515978547778,-11.8581363769818,-16.00473225189143,-0.3436451783397798,18763.19921875,2020-04-09,3M India Limited,3MINDIA,4051.0
-40.31007723283628,-7.228920092550073,-35.833334922790534,2.220446049250313e-14,-58.37837940937765,-7.228920092550073,-22.222221151880643,-45.77464850217051,-7.228920092550073,3.849999904632568,2020-04-09,3P Land Holdings Limited,3PLAND,10.0
-6.632326367904228,45.50928026061674,2.9098696104471022,17.551683659259297,-29.440389294403893,-0.6509057678014796,-17.777150563359488,-25.43070080963002,28.14847374689305,145.0,2020-04-09,5Paisa Capital Limited,5PAISA,9176.0
-49.340369375435074,-17.478515822685882,-52.25860112254856,7.262565466988202,-52.8255534857117,-25.916400676371588,-40.83204994663342,-47.94396956185349,-17.478515822685882,57.599998474121094,2020-04-09,63 moons technologies limited,63MOONS,27301.0
-62.75510179256708,19.67213614529684,-62.75510179256708,15.87301539245438,-74.65277644403183,-7.594935409993344,-21.505375903029574,-51.65562909724686,15.87301539245436,3.650000095367432,2020-04-09,A2Z Infra Engineering Limited,A2ZINFRA,316726.0
24.03599726877073,36.417623686499226,41.62699227552711,3.641545422585368,23.930321934442354,4.476895433638939,-3.1226929465599573,4.945887869488973,30.320523888951726,654.5999755859375,2020-04-09,Aarti Drugs Limited,AARTIDRUGS,25419.0
13.178972189357795,30.40593725204055,13.866591329706823,5.778449171616807,6.175880572037794,-4.042873051152807,-11.555579539681096,6.31319230523606,17.939352825949626,904.2999877929688,2020-04-09,Aarti Industries Limited,AARTIIND,142906.0
-33.71647898770507,8.805029258608757,-35.9259287516276,3.592805070120764,-61.725666050773114,-21.719461816995512,-35.9259287516276,-41.94630979874143,8.805029258608757,8.649999618530272,2020-04-09,Aarvee Denims & Exports Limited,AARVEEDEN,2832.0
-28.95718235582889,20.204587959792033,-27.21058067575638,-0.11011276019785576,-22.31889356589313,-40.34981845492504,-41.3843052621576,-41.70372789042559,-4.6179102108324885,1133.949951171875,2020-04-09,Aavas Financiers Limited,AAVAS,7313.0
-36.65480784548821,34.33961688347582,-27.789048630736445,9.876533325735329,-54.59183956473527,11.598742632716341,-20.179372887696843,-32.061073592642465,27.14285169328963,17.799999237060547,2020-04-09,Aban Offshore Limited,ABAN,25063.0
-36.64647286277025,12.100216613590375,-31.643899008562048,-0.010748535487448141,-39.32320498055169,-17.63508468428911,-21.926254145905133,-29.980065355214897,-0.5131546614114857,930.5999755859376,2020-04-09,ABB India Limited,ABB,45039.0
49.22403778000699,29.83672007640068,97.89838656567566,2.804457448071984,111.13081252838812,20.364279505863614,12.716143284124735,42.661459139644826,16.311136836311846,17971.349609375,2020-04-09,Abbott India Limited,ABBOTINDIA,19363.0
-40.80996884735203,18.601750074555667,-45.86894586894586,4.16667015231853,-48.787061994609154,-29.68172042330658,-45.433660729732935,-54.91219678406714,12.692759858706882,47.5,2020-04-09,Aditya Birla Capital Limited,ABCAPITAL,802551.0
-28.149039928729714,-12.088237089269304,-21.589720796191727,0.3020113746591946,-27.380954940677942,-38.192723299407035,-46.28930927286894,-36.36363931693124,-2.2563748109616593,149.4499969482422,2020-04-09,Aditya Birla Fashion and Retail Limited,ABFRL,139529.0
-34.45759823852271,2.827748646053152,-36.813952525739936,1.9350452629267825,-35.42391597738308,-21.932950947065574,-30.74545042576273,-37.76422679617548,0.624676075680819,974.5499877929688,2020-04-09,ACC Limited,ACC,963815.0
-19.45859650463489,0.5281118017106845,19.77672860812753,0.5338193130635105,-0.21981188429038845,-13.271600471488533,-17.011996561522093,-15.24392731302122,3.769053272457511,885.1500244140625,2020-04-09,Accelya Solutions India Limited,ACCELYA,4799.0
-56.76146333112909,-1.455024466035726,-31.651376146788987,12.030075187969926,-62.354723447354544,-37.34230526163208,-49.628125034174936,-57.208502361737935,8.75912408759123,37.25,2020-04-09,Action Construction Equipment Limited,ACE,235621.0
-29.510625826816288,9.397774780518107,4.8915110735935805,3.2585081832849028,-3.583494260776121,-28.592885186435733,-42.32557892678842,-37.932532707936616,3.6337207690517963,142.60000610351562,2020-04-09,Adani Enterprises Limited,ADANIENT,1449073.0
-35.8548120984604,15.657496087777133,-35.72399787310538,4.1299558083301315,-43.50164349962845,-21.339429740193093,-42.5751554468921,-46.04850039842635,9.496241716893897,94.5500030517578,2020-04-09,Adani Gas Limited,ADANIGAS,1565935.0
77.6959373736294,19.53290180370113,283.4279156000164,1.4719116810822277,305.5221793726458,22.657950355633936,-9.14470175263492,-11.222079423661304,10.212067795422096,168.89999389648438,2020-04-09,Adani Green Energy Limited,ADANIGREEN,232460.0
-32.010297264025986,8.284788327181092,-31.425061189430803,0.0398608101629172,-40.65271530661667,-22.041005993637285,-30.724638523604646,-34.775829253218404,-0.13927819310194378,250.9499969482422,2020-04-09,Adani Ports and Special Economic Zone Limited,ADANIPORTS,2740242.0
